[[35, 20, 24, 41], 
[26, 25, 25, 44], 
[29, 30, 23, 38], 
[16, 27, 41, 36], 
[24, 30, 36, 30], 
[22, 29, 36, 33], 
[20, 42, 33, 25], 
[23, 42, 23, 32], 
[26, 40, 25, 29], 
[19, 39, 33, 29], 
[14, 37, 36, 33], 
[15, 31, 43, 31], 
[31, 32, 27, 30], 
[38, 32, 27, 23], 
[40, 39, 21, 20], 
[36, 32, 31, 21], 
[33, 33, 19, 35], 
[29, 34, 22, 35], 
[32, 18, 26, 44], 
[24, 25, 21, 50], 
[33, 34, 16, 37], 
[39, 27, 19, 35], 
[29, 27, 22, 42], 
[24, 24, 28, 44], 
[36, 41, 19, 24], 
[33, 44, 15, 28], 
[34, 44, 20, 22], 
[30, 35, 29, 26], 
[27, 41, 26, 26], 
[23, 43, 31, 23], 
[26, 45, 25, 24], 
[31, 45, 23, 21], 
[26, 28, 36, 30], 
[27, 26, 32, 35], 
[30, 25, 32, 33], 
[30, 35, 23, 32], 
[23, 27, 30, 40], 
[33, 26, 25, 36], 
[27, 24, 34, 35], 
[30, 28, 30, 32], 
[23, 29, 32, 36], 
[28, 28, 31, 33], 
[18, 33, 25, 44], 
[25, 29, 29, 37], 
[27, 35, 26, 32], 
[34, 32, 33, 21], 
[24, 34, 22, 40], 
[29, 27, 20, 20], 
[21, 23, 18, 28], 
[14, 10, 11, 17], 
[13, 13, 7, 13], 
[9, 3, 2, 4], 
[1, 9, 1, 5], 
[0, 3, 1, 5], 
[2, 1, 1, 2], 
[0, 2, 1, 1], 
[0, 1, 1, 1], 
[0, 1, 1, 0], 
[0, 1, 1, 0], 
[0, 1, 0, 0], 
[0, 1, 0, 0], 
[1, 0, 0, 0], 
[0, 0, 0, 1], 
[0, 0, 0, 1]]
